Period,Execution,Deadline,Offset,Jitter,CPU ID,Fixed Start,Name,Function
100000,14,100000,2,0,1,None,H_C0,h_c0_fun
20000,2,20000,4,0,1,None,DELTA_E_C0,delta_e_c0_fun
20000,433,20000,3,0,1,None,VZ_CONTROL,vz_control_50483_fun
5000,163,5000,0,0,1,0,ENGINE,engine486_fun
10000,189,10000,2,0,1,None,H_FILTER,h_filter_100446_fun
5000,550,5000,1,0,1,None,AIRCRAFT_DYN,aircraft_dynamics495_fun
10000,194,10000,2,0,1,None,Q_FILTER,q_filter_100455_fun
#10000,194,10000,2,0,1,None,VZ_FILTER,vz_filter_100455_fun
#10000,189,10000,2,0,1,None,AZ_FILTER,az_filter_100458_fun
#20000,2,20000,4,0,1,None,DELTA_TH_C0,delta_th_c0_fun
#20000,158,20000,2,0,1,None,ALTI_HOLD,altitude_hold_50464_fun
#100000,14,10000,2,0,1,None,VA_C0,Va_c0_fun
#20000,506,20000,3,0,1,None,VA_CONTROL,Va_control_50474_fun
#5000,428,5000,0,0,1,None,ELEVATOR,elevator489_fun
#10000,189,10000,2,0,1,None,VA_FILTER,Va_filter_100449_fun
5000,2000,5000,5,0,1,None,LOGGING,logging_fun